OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
Grupo LATAM,4,N,Arica,Domingo,0
Copa Air,6,I,Ciudad de Panama,Lunes,0
Grupo LATAM,10,N,Iquique,Domingo,0
Sky Airline,7,N,Temuco,Jueves,0
Gol Trans,12,I,Sao Paulo,Domingo,0
Grupo LATAM,4,N,Calama,Martes,0
Grupo LATAM,7,N,Calama,Miercoles,0
Grupo LATAM,5,I,Lima,Jueves,0
Grupo LATAM,2,N,Iquique,Viernes,0
Grupo LATAM,12,I,Sao Paulo,Sabado,0
Sky Airline,4,N,Temuco,Martes,0
Grupo LATAM,4,I,Rio de Janeiro,Domingo,0
Grupo LATAM,11,N,Concepcion,Miercoles,1
Grupo LATAM,11,N,Antofagasta,Domingo,0
Grupo LATAM,8,I,Lima,Lunes,0
Air Canada,4,I,Toronto,Domingo,0
Sky Airline,9,I,Mendoza,Jueves,0
Grupo LATAM,10,N,La Serena,Martes,0
Sky Airline,10,N,Iquique,Martes,1
Grupo LATAM,10,I,Guayaquil,Viernes,1
Sky Airline,9,N,Puerto Montt,Sabado,0
Grupo LATAM,11,I,Auckland N.Z.,Jueves,0
Latin American Wings,9,N,Concepcion,Lunes,0
Grupo LATAM,10,I,Montevideo,Jueves,1
Grupo LATAM,8,I,Sao Paulo,Jueves,0
Grupo LATAM,5,I,Guayaquil,Jueves,0
Grupo LATAM,12,I,Lima,Viernes,0
Grupo LATAM,3,I,Bogota,Martes,0
Sky Airline,5,N,Calama,Jueves,0
Avianca,2,I,Bogota,Martes,0
Sky Airline,10,N,Copiapo,Jueves,0
Grupo LATAM,7,N,Calama,Miercoles,0
Air Canada,12,I,Buenos Aires,Domingo,1
Grupo LATAM,4,N,Iquique,Martes,0
Sky Airline,3,N,Antofagasta,Jueves,0
Latin American Wings,8,I,Lima,Miercoles,0
Grupo LATAM,11,N,Puerto Montt,Jueves,1
Grupo LATAM,12,N,Temuco,Martes,0
Sky Airline,10,I,Buenos Aires,Martes,0
Grupo LATAM,11,N,Copiapo,Martes,0
Grupo LATAM,4,N,Punta Arenas,Lunes,0
Grupo LATAM,2,N,Calama,Domingo,0
Grupo LATAM,2,N,Arica,Martes,0
Grupo LATAM,11,I,Madrid,Domingo,0
Grupo LATAM,3,N,Puerto Montt,Viernes,1
Iberia,5,I,Madrid,Miercoles,0
Aerolineas Argentinas,5,I,Buenos Aires,Martes,0
Grupo LATAM,10,N,Valdivia,Martes,1
Grupo LATAM,10,N,Puerto Montt,Martes,1
Aerolineas Argentinas,9,I,Buenos Aires,Domingo,1
Grupo LATAM,3,N,La Serena,Jueves,0
United Airlines,12,I,Houston,Sabado,0
Grupo LATAM,2,N,Antofagasta,Lunes,0
Sky Airline,12,I,Lima,Sabado,1
Sky Airline,8,I,Buenos Aires,Viernes,1
Sky Airline,5,N,Antofagasta,Martes,0
Grupo LATAM,1,I,Sao Paulo,Sabado,0
Grupo LATAM,1,I,Nueva York,Jueves,0
Sky Airline,3,N,Arica,Miercoles,0
Grupo LATAM,4,I,Sao Paulo,Viernes,0
Grupo LATAM,9,I,Rio de Janeiro,Sabado,1
Sky Airline,3,I,Buenos Aires,Martes,0
Grupo LATAM,10,I,Lima,Lunes,0
Grupo LATAM,10,I,Asuncion,Viernes,0
Grupo LATAM,3,N,Punta Arenas,Jueves,0
Grupo LATAM,10,I,Lima,Jueves,0
Grupo LATAM,2,N,Calama,Lunes,0
Sky Airline,10,I,Lima,Miercoles,0
Sky Airline,12,N,Antofagasta,Viernes,1
Grupo LATAM,10,N,Temuco,Martes,0
Grupo LATAM,11,N,Concepcion,Domingo,0
Grupo LATAM,10,N,Punta Arenas,Martes,0
Grupo LATAM,6,I,Mendoza,Sabado,1
Grupo LATAM,6,N,Calama,Lunes,0
Sky Airline,8,N,Antofagasta,Martes,0
Grupo LATAM,11,N,Iquique,Miercoles,0
American Airlines,6,I,Dallas,Domingo,0
Grupo LATAM,4,I,Buenos Aires,Lunes,0
Sky Airline,10,N,Concepcion,Sabado,0
Grupo LATAM,7,N,Iquique,Sabado,0
Grupo LATAM,5,N,Calama,Jueves,1
Sky Airline,3,N,Punta Arenas,Viernes,1
Grupo LATAM,10,N,Valdivia,Viernes,0
Grupo LATAM,8,N,Puerto Montt,Miercoles,0
Grupo LATAM,10,I,Sao Paulo,Martes,0
Grupo LATAM,5,I,Buenos Aires,Martes,0
Sky Airline,3,N,Iquique,Lunes,0
Grupo LATAM,8,N,Puerto Montt,Sabado,0
Sky Airline,10,N,La Serena,Jueves,1
Grupo LATAM,2,N,Antofagasta,Viernes,1
Grupo LATAM,1,N,La Serena,Jueves,0
Grupo LATAM,12,N,Punta Arenas,Lunes,0
Grupo LATAM,5,I,Nueva York,Lunes,0
Sky Airline,2,N,La Serena,Martes,0
Latin American Wings,12,I,Lima,Viernes,1
Grupo LATAM,1,I,Lima,Lunes,1
Grupo LATAM,5,I,Asuncion,Lunes,1
Alitalia,5,I,Roma,Lunes,0
Sky Airline,8,N,Concepcion,Jueves,1
Grupo LATAM,6,I,Buenos Aires,Lunes,0
Grupo LATAM,12,N,Copiapo,Domingo,0
Grupo LATAM,2,N,Temuco,Viernes,0
Sky Airline,2,N,La Serena,Domingo,1
Sky Airline,12,I,Lima,Lunes,1
Grupo LATAM,5,N,Puerto Montt,Lunes,0
Grupo LATAM,4,I,Nueva York,Viernes,0
Aeromexico,8,I,Ciudad de Mexico,Viernes,0
Air France,12,I,Paris,Martes,0
Sky Airline,8,N,Antofagasta,Martes,0
Grupo LATAM,4,I,Rio de Janeiro,Domingo,0
Sky Airline,12,I,Montevideo,Lunes,0
Copa Air,6,I,Ciudad de Panama,Jueves,0
Grupo LATAM,10,N,Iquique,Domingo,0
Grupo LATAM,10,N,Calama,Lunes,0
Grupo LATAM,1,I,Buenos Aires,Jueves,0
Alitalia,10,I,Roma,Lunes,0
Grupo LATAM,9,N,Punta Arenas,Martes,1
JetSmart SPA,10,N,Antofagasta,Martes,0
Gol Trans,9,I,Sao Paulo,Viernes,1
K.L.M.,2,I,Buenos Aires,Sabado,0
Grupo LATAM,12,N,La Serena,Lunes,0
Sky Airline,9,N,Antofagasta,Viernes,1
Grupo LATAM,9,I,Lima,Lunes,0
Grupo LATAM,11,I,Bogota,Lunes,0
Grupo LATAM,9,N,Concepcion,Domingo,0
Grupo LATAM,7,I,Sao Paulo,Domingo,0
Grupo LATAM,1,N,Concepcion,Lunes,0
Grupo LATAM,1,I,Buenos Aires,Domingo,0
Grupo LATAM,11,N,Puerto Montt,Viernes,0
Grupo LATAM,8,N,Puerto Montt,Jueves,0
Grupo LATAM,7,I,Sao Paulo,Domingo,1
Aerolineas Argentinas,2,I,Buenos Aires,Lunes,0
Sky Airline,3,N,Punta Arenas,Viernes,0
Copa Air,12,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,3,N,Puerto Montt,Martes,1
Grupo LATAM,2,N,Temuco,Sabado,0
Grupo LATAM,2,N,Temuco,Viernes,0
Grupo LATAM,2,N,Concepcion,Miercoles,0
Grupo LATAM,8,N,Iquique,Lunes,0
Grupo LATAM,7,I,La Paz,Jueves,0
Air France,6,I,Paris,Lunes,0
Grupo LATAM,3,I,Miami,Viernes,0
Grupo LATAM,9,I,Sao Paulo,Martes,0
Sky Airline,3,N,Arica,Domingo,0
Grupo LATAM,6,I,Sao Paulo,Viernes,0
Air Canada,4,I,Toronto,Domingo,0
Air Canada,11,I,Toronto,Lunes,0
Sky Airline,7,N,Concepcion,Viernes,0
Sky Airline,2,N,Puerto Montt,Martes,0
Grupo LATAM,7,N,Concepcion,Miercoles,0
Grupo LATAM,4,I,Sao Paulo,Domingo,0
Grupo LATAM,3,I,Montevideo,Sabado,0
Air France,3,I,Paris,Domingo,0
Grupo LATAM,8,N,Calama,Martes,1
Grupo LATAM,8,I,Cordoba,Miercoles,0
K.L.M.,4,I,Buenos Aires,Sabado,1
Delta Air,6,I,Atlanta,Viernes,0
Grupo LATAM,3,I,Lima,Lunes,0
Grupo LATAM,6,I,Cordoba,Miercoles,0
Sky Airline,4,N,Puerto Montt,Miercoles,0
Grupo LATAM,12,I,Auckland N.Z.,Jueves,0
United Airlines,9,I,Houston,Martes,0
Grupo LATAM,1,I,Lima,Lunes,0
Grupo LATAM,3,N,Calama,Lunes,0
Grupo LATAM,8,I,Mendoza,Miercoles,0
Grupo LATAM,2,N,Punta Arenas,Miercoles,0
Grupo LATAM,5,I,Nueva York,Lunes,0
Grupo LATAM,7,I,Sao Paulo,Domingo,0
Grupo LATAM,4,I,Miami,Sabado,0
Grupo LATAM,8,I,Bogota,Jueves,0
Air France,6,I,Paris,Jueves,0
Sky Airline,5,N,Antofagasta,Lunes,1
Grupo LATAM,8,N,Arica,Viernes,0
Grupo LATAM,11,N,Arica,Domingo,0
Grupo LATAM,9,I,Nueva York,Sabado,0
Grupo LATAM,9,I,Sao Paulo,Viernes,0
Grupo LATAM,9,I,Ciudad de Mexico,Viernes,0
Sky Airline,3,N,Calama,Sabado,0
Sky Airline,10,N,Iquique,Viernes,0
Grupo LATAM,7,N,Castro (Chiloe),Sabado,0
Grupo LATAM,12,N,Punta Arenas,Lunes,0
Sky Airline,6,N,Puerto Montt,Viernes,1
Grupo LATAM,3,N,Calama,Viernes,0
Grupo LATAM,11,I,Mendoza,Lunes,0
Sky Airline,3,N,Calama,Viernes,0
Plus Ultra Lineas Aereas,8,I,Madrid,Lunes,1
K.L.M.,7,I,Buenos Aires,Jueves,0
Sky Airline,8,N,Calama,Jueves,0
Grupo LATAM,4,I,Asuncion,Miercoles,0
Latin American Wings,8,N,Puerto Montt,Viernes,0
Grupo LATAM,2,N,Calama,Martes,0
Grupo LATAM,4,N,Arica,Miercoles,0
Grupo LATAM,9,N,Puerto Montt,Viernes,1
Sky Airline,12,N,Puerto Montt,Viernes,0
Sky Airline,5,I,Buenos Aires,Miercoles,0
Aerolineas Argentinas,3,I,Buenos Aires,Domingo,1
Sky Airline,4,N,Antofagasta,Domingo,0
Oceanair Linhas Aereas,11,I,Sao Paulo,Sabado,0
Grupo LATAM,7,I,Buenos Aires,Sabado,0
Sky Airline,10,I,Buenos Aires,Viernes,1
American Airlines,10,I,Dallas,Martes,0
Grupo LATAM,3,N,Iquique,Martes,0
Grupo LATAM,12,N,Temuco,Miercoles,0
Air Canada,5,I,Buenos Aires,Domingo,0
Grupo LATAM,3,I,Bogota,Viernes,0
Grupo LATAM,1,N,Calama,Jueves,0
Grupo LATAM,9,N,Iquique,Jueves,0
Aerolineas Argentinas,10,I,Buenos Aires,Sabado,1
Grupo LATAM,3,N,Temuco,Jueves,0
Grupo LATAM,6,I,Madrid,Jueves,0
Grupo LATAM,11,N,Antofagasta,Jueves,1
Grupo LATAM,1,N,Iquique,Lunes,0
Grupo LATAM,12,I,Santa Cruz,Viernes,0
Grupo LATAM,12,I,Mendoza,Domingo,0
Aerolineas Argentinas,5,I,Buenos Aires,Lunes,0
Aeromexico,3,I,Ciudad de Mexico,Sabado,0
Grupo LATAM,2,I,Cordoba,Martes,0
Grupo LATAM,1,N,Antofagasta,Martes,0
Grupo LATAM,7,N,Calama,Jueves,0
Grupo LATAM,9,N,Iquique,Viernes,0
Grupo LATAM,7,N,Puerto Montt,Martes,1
Grupo LATAM,11,N,La Serena,Domingo,0
Sky Airline,11,N,Temuco,Miercoles,0
Grupo LATAM,12,I,Buenos Aires,Domingo,0
Grupo LATAM,11,I,Sao Paulo,Lunes,1
Sky Airline,11,I,Lima,Domingo,0
Sky Airline,4,N,Concepcion,Martes,0
Sky Airline,7,N,Concepcion,Miercoles,0
Grupo LATAM,8,I,Lima,Lunes,0
Sky Airline,11,N,Calama,Domingo,0
Grupo LATAM,12,I,Cordoba,Viernes,0
Grupo LATAM,8,N,Puerto Montt,Domingo,0
Grupo LATAM,11,N,Concepcion,Martes,0
Copa Air,4,I,Ciudad de Panama,Domingo,0
Sky Airline,3,N,Iquique,Jueves,0
Grupo LATAM,3,N,La Serena,Viernes,0
Grupo LATAM,1,N,Punta Arenas,Viernes,0
Austral,11,I,Cordoba,Jueves,0
British Airways,9,I,Londres,Miercoles,0
Grupo LATAM,2,N,La Serena,Viernes,0
Grupo LATAM,7,I,Rio de Janeiro,Domingo,1
Grupo LATAM,1,I,Sao Paulo,Domingo,0
Sky Airline,12,N,Antofagasta,Miercoles,1
Grupo LATAM,7,I,Lima,Viernes,0
Grupo LATAM,10,I,Buenos Aires,Jueves,1
Gol Trans,10,I,Sao Paulo,Jueves,1
JetSmart SPA,9,N,Temuco,Jueves,0
Grupo LATAM,3,N,Arica,Viernes,0
Grupo LATAM,3,I,Sao Paulo,Miercoles,0
Grupo LATAM,11,N,Calama,Sabado,0
Latin American Wings,1,I,Lima,Martes,1
Sky Airline,6,N,Concepcion,Jueves,1
Grupo LATAM,8,I,Sao Paulo,Miercoles,1
Grupo LATAM,9,N,Copiapo,Sabado,0
Grupo LATAM,9,N,Balmaceda,Sabado,1
Sky Airline,11,N,Antofagasta,Lunes,0
Grupo LATAM,5,N,Punta Arenas,Domingo,1
Delta Air,7,I,Atlanta,Jueves,0
Grupo LATAM,7,N,Puerto Montt,Sabado,1
Grupo LATAM,12,I,Sao Paulo,Miercoles,0
Grupo LATAM,3,I,Buenos Aires,Miercoles,0
Grupo LATAM,9,I,Buenos Aires,Jueves,0
Latin American Wings,1,I,Lima,Domingo,0
Sky Airline,8,N,Arica,Miercoles,0
Grupo LATAM,4,I,Buenos Aires,Jueves,1
Grupo LATAM,1,N,Punta Arenas,Viernes,0
Grupo LATAM,4,N,Calama,Miercoles,0
Grupo LATAM,2,I,Sao Paulo,Domingo,0
Grupo LATAM,4,I,Ciudad de Mexico,Sabado,0
Sky Airline,9,N,Antofagasta,Lunes,0
Aerolineas Argentinas,7,I,Buenos Aires,Sabado,0
Grupo LATAM,10,N,Antofagasta,Jueves,0
Latin American Wings,5,N,Puerto Montt,Martes,0
Sky Airline,1,N,Antofagasta,Domingo,0
Grupo LATAM,5,N,Castro (Chiloe),Domingo,0
Sky Airline,10,I,Buenos Aires,Viernes,1
Delta Air,11,I,Atlanta,Miercoles,1
Sky Airline,6,I,Mendoza,Lunes,0
Grupo LATAM,12,N,Puerto Montt,Lunes,0
Grupo LATAM,12,I,Buenos Aires,Lunes,0
Grupo LATAM,11,I,Neuquen,Miercoles,0
Sky Airline,11,N,Arica,Lunes,0
Grupo LATAM,11,N,Puerto Montt,Lunes,0
Grupo LATAM,1,N,Puerto Montt,Martes,0
Grupo LATAM,1,I,Buenos Aires,Jueves,1
Sky Airline,1,N,Antofagasta,Jueves,0
Aerolineas Argentinas,2,I,Buenos Aires,Sabado,0
Grupo LATAM,10,I,Guayaquil,Jueves,0
Sky Airline,3,N,Balmaceda,Lunes,0
Grupo LATAM,2,I,Sao Paulo,Miercoles,0
Sky Airline,3,N,Puerto Montt,Jueves,0
Aerolineas Argentinas,11,I,Buenos Aires,Sabado,1
Sky Airline,3,N,Calama,Lunes,0
JetSmart SPA,9,N,Concepcion,Martes,0
Sky Airline,8,N,Iquique,Miercoles,0
Copa Air,8,I,Ciudad de Panama,Domingo,0
Grupo LATAM,9,I,Lima,Domingo,0
Latin American Wings,5,I,Lima,Jueves,0
Sky Airline,8,N,Puerto Montt,Miercoles,0
Latin American Wings,11,I,Lima,Sabado,0
Grupo LATAM,4,N,La Serena,Viernes,0
Grupo LATAM,8,I,Cordoba,Viernes,0
Grupo LATAM,1,N,Iquique,Domingo,0
Grupo LATAM,8,N,Punta Arenas,Jueves,0
Grupo LATAM,3,N,Iquique,Sabado,0
Grupo LATAM,12,N,Punta Arenas,Domingo,1
Grupo LATAM,7,N,Balmaceda,Domingo,0
Aeromexico,7,I,Ciudad de Mexico,Martes,0
Sky Airline,6,I,Buenos Aires,Jueves,0
Sky Airline,6,N,Iquique,Lunes,0
Grupo LATAM,12,N,Arica,Domingo,1
Grupo LATAM,5,N,Iquique,Domingo,0
Grupo LATAM,2,N,Copiapo,Lunes,0
Grupo LATAM,10,N,Calama,Martes,0
Grupo LATAM,10,I,Cordoba,Sabado,0
Sky Airline,2,N,Puerto Montt,Viernes,0
Grupo LATAM,7,N,La Serena,Martes,0
Grupo LATAM,4,I,Miami,Miercoles,0
Aeromexico,10,I,Ciudad de Mexico,Martes,0
Sky Airline,9,N,Puerto Montt,Martes,0
Grupo LATAM,4,N,Calama,Domingo,0
Grupo LATAM,1,N,Antofagasta,Jueves,0
Grupo LATAM,12,N,Calama,Viernes,0
Sky Airline,2,N,Iquique,Domingo,0
Grupo LATAM,8,N,Temuco,Martes,0
Grupo LATAM,8,N,Iquique,Domingo,0
Grupo LATAM,12,I,Buenos Aires,Domingo,0
Grupo LATAM,10,N,Arica,Viernes,1
British Airways,8,I,Londres,Martes,0
Grupo LATAM,1,N,Iquique,Jueves,0
Sky Airline,12,N,Iquique,Viernes,1
Grupo LATAM,5,I,Asuncion,Jueves,1
Grupo LATAM,10,I,Lima,Miercoles,0
Grupo LATAM,8,N,Castro (Chiloe),Miercoles,0
Grupo LATAM,10,I,Buenos Aires,Viernes,0
Grupo LATAM,3,N,Calama,Domingo,0
Grupo LATAM,2,I,Nueva York,Viernes,1
Grupo LATAM,9,N,Arica,Martes,0
Grupo LATAM,12,N,Puerto Montt,Sabado,0
American Airlines,6,I,Miami,Jueves,0
Grupo LATAM,10,I,Lima,Sabado,0
Grupo LATAM,6,I,Rio de Janeiro,Martes,0
Sky Airline,1,N,La Serena,Viernes,0
Grupo LATAM,12,N,Antofagasta,Miercoles,0
Grupo LATAM,7,I,Guayaquil,Domingo,1
Grupo LATAM,8,N,Concepcion,Jueves,1
Grupo LATAM,6,N,Antofagasta,Domingo,0
Aerolineas Argentinas,6,I,Buenos Aires,Viernes,0
Sky Airline,1,N,Iquique,Martes,0
Grupo LATAM,7,I,Buenos Aires,Lunes,1
Grupo LATAM,3,N,Concepcion,Lunes,0
Grupo LATAM,6,N,Puerto Montt,Lunes,0
Grupo LATAM,5,N,Antofagasta,Martes,0
Grupo LATAM,5,I,Lima,Lunes,0
Grupo LATAM,6,N,Concepcion,Viernes,1
Grupo LATAM,3,N,Puerto Montt,Jueves,0
Sky Airline,2,N,Punta Arenas,Lunes,0
Grupo LATAM,7,N,Punta Arenas,Viernes,0
Sky Airline,11,I,Buenos Aires,Lunes,0
Grupo LATAM,8,I,Mendoza,Jueves,0
Grupo LATAM,2,I,Los Angeles,Sabado,1
Sky Airline,4,N,Puerto Montt,Lunes,0
Grupo LATAM,10,I,Sao Paulo,Sabado,1
Grupo LATAM,11,N,Arica,Miercoles,0
Aerolineas Argentinas,10,I,Buenos Aires,Lunes,0
Grupo LATAM,8,N,Antofagasta,Sabado,0
Copa Air,3,I,Ciudad de Panama,Miercoles,0
Aerolineas Argentinas,10,I,Buenos Aires,Sabado,0
Grupo LATAM,10,N,Calama,Viernes,1
Sky Airline,3,I,Mendoza,Domingo,0
Grupo LATAM,11,I,Nueva York,Viernes,1
Grupo LATAM,12,N,Antofagasta,Sabado,0
Grupo LATAM,2,N,Temuco,Lunes,1
Grupo LATAM,2,N,Puerto Montt,Jueves,0
Grupo LATAM,1,N,La Serena,Viernes,0
Sky Airline,4,N,La Serena,Sabado,1
Grupo LATAM,2,I,Buenos Aires,Domingo,0
Aerolineas Argentinas,7,I,Buenos Aires,Viernes,1
Grupo LATAM,12,N,Concepcion,Lunes,0
Aerolineas Argentinas,1,I,Buenos Aires,Sabado,0
Grupo LATAM,9,I,Auckland N.Z.,Jueves,1
Grupo LATAM,4,N,Antofagasta,Jueves,0
Aerolineas Argentinas,7,I,Buenos Aires,Miercoles,0
Grupo LATAM,7,N,Antofagasta,Lunes,0
Sky Airline,8,I,Buenos Aires,Domingo,0
Grupo LATAM,2,I,Lima,Martes,0
American Airlines,12,I,Dallas,Jueves,0
